DAS,Decel,CWC,FAS,BT,Vol,NoDT,Exit,SL,TP,BE,Trades,Win Rate,Avg P&L,Profit Factor,Avg Duration,_avg_pnl_raw
-2.0,0.04,0.45,-0.5,0.45,0.0/0.0,Yes,standard,-10.0%,None,None,22,72.7%,+2.69%,2.47x,27.7,2.693636363636364
-2.2,0.05,0.45,-0.5,0.45,0.0/0.0,Yes,standard,-10.0%,None,None,18,66.7%,+2.28%,2.02x,29.2,2.2838888888888897
-2.2,0.04,0.4,-0.5,0.35,0.5/1.0,No,standard,-10.0%,None,None,15,60.0%,+2.27%,3.14x,22.7,2.2746666666666666
-2.2,0.04,0.4,-0.5,0.35,0.5/1.0,No,standard,-8.0%,+12.0%,+4.0%,15,60.0%,+2.26%,4.53x,20.3,2.2646666666666664
-2.2,0.05,0.4,-0.5,0.38,0.5/1.0,No,mean_reversion,-8.0%,+15.0%,+4.0%,17,76.5%,+2.08%,2.66x,13.8,2.084117647058823
-2.2,0.05,0.2,-0.5,0.35,0.5/1.0,No,mean_reversion,-8.0%,+15.0%,+4.0%,15,66.7%,+2.00%,3.24x,14.1,2.0020000000000002
-2.2,0.04,0.2,-0.5,0.35,0.5/1.0,No,mean_reversion,-8.0%,+15.0%,+4.0%,17,70.6%,+1.93%,3.44x,13.2,1.9270588235294117
-2.0,0.05,0.2,-0.3,0.38,0.0/0.0,No,standard,-10.0%,None,None,17,88.2%,+1.92%,3.16x,27.1,1.9229411764705882
-2.0,0.04,0.45,-0.5,0.38,0.5/1.0,No,mean_reversion,-10.0%,None,None,18,77.8%,+1.91%,2.41x,13.9,1.9105555555555556
-2.0,0.04,0.4,-0.5,0.35,0.5/1.0,No,standard,-8.0%,+12.0%,+4.0%,16,56.2%,+1.63%,2.50x,20.2,1.6325
-2.2,0.04,0.45,-0.3,0.45,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,19,73.7%,+1.63%,1.94x,20.5,1.6294736842105264
-2.2,0.05,0.45,-0.5,0.45,0.5/1.0,No,mean_reversion,-10.0%,None,None,19,73.7%,+1.63%,1.83x,17.2,1.628421052631579
-2.0,0.04,0.4,-0.5,0.45,0.0/0.0,Yes,standard,-10.0%,None,None,24,66.7%,+1.57%,1.61x,27.8,1.5658333333333332
-2.0,0.04,0.4,-0.5,0.35,0.5/1.0,No,mean_reversion,-8.0%,+15.0%,+4.0%,16,75.0%,+1.54%,2.20x,14.2,1.535625
-2.0,0.05,0.45,-0.5,0.45,0.5/1.0,No,standard,-8.0%,+12.0%,+4.0%,19,57.9%,+1.52%,2.03x,23.6,1.5205263157894737
-2.2,0.05,0.2,-0.3,0.45,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,22,77.3%,+1.44%,1.93x,22.9,1.4422727272727274
-2.0,0.04,0.45,-0.5,0.45,0.0/0.0,Yes,standard,-8.0%,+12.0%,+4.0%,22,63.6%,+1.42%,1.67x,21.0,1.4222727272727276
-2.2,0.04,0.45,-0.5,0.45,0.0/0.0,Yes,standard,-8.0%,+12.0%,+4.0%,22,63.6%,+1.42%,1.67x,21.0,1.4222727272727276
-2.2,0.04,0.2,-0.5,0.45,0.5/1.0,Yes,mean_reversion,-10.0%,None,None,16,75.0%,+1.33%,1.62x,17.5,1.3306250000000002
-2.2,0.04,0.2,-0.3,0.38,0.0/0.0,No,standard,-10.0%,None,None,20,80.0%,+1.30%,1.99x,24.6,1.3025
-2.0,0.05,0.45,-0.5,0.45,0.5/1.0,No,standard,-10.0%,None,None,19,63.2%,+1.14%,1.58x,27.9,1.1447368421052633
-2.0,0.04,0.2,-0.3,0.35,0.0/0.0,No,standard,-10.0%,None,None,16,75.0%,+1.10%,1.67x,25.8,1.09625
-2.0,0.04,0.45,-0.5,0.45,0.5/1.0,No,mean_reversion,-10.0%,None,None,24,75.0%,+1.00%,1.43x,15.6,1.0016666666666667
-2.2,0.04,0.45,-0.5,0.45,0.5/1.0,No,mean_reversion,-10.0%,None,None,24,75.0%,+1.00%,1.43x,15.6,1.0016666666666667
-2.0,0.04,0.45,-0.5,0.35,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,22,59.1%,+0.94%,1.80x,21.1,0.9363636363636364
-2.2,0.05,0.4,-0.5,0.45,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,38,63.2%,+0.89%,1.44x,21.7,0.8936842105263159
-2.2,0.05,0.2,-0.3,0.38,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,17,82.4%,+0.85%,1.58x,23.2,0.8517647058823529
-2.2,0.05,0.45,-0.5,0.45,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,33,60.6%,+0.81%,1.39x,22.2,0.8075757575757576
-2.0,0.05,0.2,-0.5,0.45,0.5/1.0,No,mean_reversion,-8.0%,+15.0%,+4.0%,29,62.1%,+0.78%,1.40x,15.9,0.7820689655172415
-2.0,0.05,0.4,-0.5,0.35,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,23,60.9%,+0.77%,1.53x,20.9,0.7691304347826089
-2.2,0.04,0.45,-0.5,0.35,0.0/0.0,No,standard,-10.0%,None,None,22,59.1%,+0.76%,1.44x,23.1,0.7577272727272728
-2.2,0.04,0.4,-0.3,0.38,0.0/0.0,No,standard,-10.0%,None,None,15,73.3%,+0.76%,1.43x,24.2,0.7573333333333333
-2.0,0.04,0.4,-0.3,0.38,0.0/0.0,No,standard,-10.0%,None,None,15,73.3%,+0.76%,1.43x,24.2,0.7573333333333333
-2.2,0.05,0.45,-0.5,0.35,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,19,57.9%,+0.68%,1.51x,21.9,0.6836842105263161
-2.0,0.04,0.2,-0.3,0.35,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,16,75.0%,+0.61%,1.38x,22.7,0.6137500000000001
-2.0,0.04,0.2,-0.5,0.45,0.5/1.0,No,mean_reversion,-8.0%,+15.0%,+4.0%,35,62.9%,+0.43%,1.21x,14.5,0.4342857142857144
-2.0,0.04,0.4,-0.5,0.45,0.0/0.0,No,standard,-8.0%,+12.0%,+4.0%,45,57.8%,+0.36%,1.15x,20.4,0.3626666666666669
-2.0,0.04,0.4,-0.5,0.45,0.5/1.0,Yes,mean_reversion,-10.0%,None,None,15,66.7%,-0.32%,0.90x,18.3,-0.31799999999999995
-2.0,0.04,0.2,-0.5,0.45,1.0/1.2,No,mean_reversion,-10.0%,None,None,18,61.1%,-0.59%,0.82x,22.7,-0.5933333333333332
-2.0,0.05,0.2,-0.5,0.45,1.0/1.2,No,mean_reversion,-8.0%,+15.0%,+4.0%,16,43.8%,-0.82%,0.72x,21.5,-0.821875
