symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason,is_taken
ADANIENT,2026-04-08,2043.8,2026-06-05,3048.2,49.14,39,SavgolCTS Universal-Cross,End of Data (Open Trade),False
ADANIPORTS,2026-03-30,1312.6,2026-06-05,1824.2,38.98,44,SavgolCTS Trend-Pullback,End of Data (Open Trade),False
BAJFINANCE,2026-02-02,903.7,2026-02-18,1014.55,12.27,12,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS,False
BAJFINANCE,2026-03-25,882.75,2026-04-21,919.5,4.16,15,SavgolCTS Universal-Cross,ExitReason.ST_CROSS,False
BEL,2026-03-27,404.75,2026-06-05,408.2,0.85,45,SavgolCTS CDVL-CTS,End of Data (Open Trade),False
BHARTIARTL,2026-03-13,1803.4,2026-04-17,1837.1,1.87,21,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS,False
CIPLA,2026-04-06,1200.9,2026-05-11,1347.0,12.17,23,SavgolCTS Universal-Cross,ExitReason.PRT_ST_CROSS,False
ETERNAL,2025-12-17,284.45,2026-01-20,282.0,-0.86,22,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS,False
HCLTECH,2026-03-10,1361.5,2026-03-18,1326.5,-2.57,6,SavgolCTS Universal-Cross,ExitReason.ST_CROSS,False
HINDALCO,2026-03-25,868.65,2026-05-12,1027.2,18.25,29,SavgolCTS CDVL-CTS,ExitReason.STRUCTURAL_CLIMAX,False
HINDUNILVR,2025-12-22,2289.5,2026-01-12,2362.0,3.17,14,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS,False
INDIGO,2026-02-04,4960.7,2026-03-10,4410.0,-11.1,23,SavgolCTS SpringBoard,ExitReason.HARD_STOP,False
LT,2026-03-24,3516.8,2026-04-27,4058.0,15.39,20,SavgolCTS Flow-Momentum,ExitReason.CWC_SLOPE_EARLY_RELEASE,False
MARUTI,2026-01-27,15245.0,2026-02-19,15163.0,-0.54,17,SavgolCTS CDVL-CTS,ExitReason.ST_CROSS,False
MAXHEALTH,2026-01-12,1013.7,2026-02-10,1010.5,-0.32,19,SavgolCTS Universal-Cross,ExitReason.PRT_ST_CROSS,False
ONGC,2025-12-08,238.52,2026-01-09,232.29,-2.61,23,SavgolCTS Trend-Pullback,ExitReason.CTS_NEAR_MISS_ROLLOVER,False
RELIANCE,2026-04-13,1315.1,2026-04-28,1358.0,3.26,10,SavgolCTS Universal-Cross,ExitReason.CTS_NEAR_MISS_ROLLOVER,False
TATACONSUM,2026-03-23,1023.6,2026-04-29,1147.7,12.12,23,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS,False
TMPV,2026-04-06,307.4,2026-04-23,359.95,17.09,12,SavgolCTS Flow-Momentum,ExitReason.PRT_ST_CROSS,False
TECHM,2026-03-09,1336.3,2026-04-22,1463.4,9.51,28,SavgolCTS Universal-Cross,ExitReason.CTS_NEAR_MISS_ROLLOVER,False
TECHM,2026-05-11,1457.4,2026-06-05,1483.5,1.79,18,SavgolCTS SpringBoard,End of Data (Open Trade),False
TRENT,2025-12-22,2804.5333333333333,2026-02-18,2781.27,-0.83,39,SavgolCTS Universal-Cross,ExitReason.ST_CROSS,False
ULTRACEMCO,2025-12-02,11666.0,2026-01-12,11870.0,1.75,28,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS,False
WIPRO,2026-03-20,190.9,2026-06-05,198.37,3.91,49,SavgolCTS SpringBoard,End of Data (Open Trade),False
