symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
ADANIENT,2025-12-09,2245.2,2025-12-24,2250.0,0.21,11,Oversold-Decel,ExitReason.ST_CROSS
ADANIENT,2026-01-27,1959.5,2026-02-16,2124.2,8.41,14,Oversold-Decel,ExitReason.PRT_ST_CROSS
ADANIENT,2026-04-08,2043.8,2026-06-05,3048.2,49.14,39,SavgolCTS Universal-Cross,End of Data (Open Trade)
ADANIPORTS,2026-01-12,1443.5,2026-02-19,1550.0,7.38,26,Oversold-Decel,ExitReason.STRUCTURAL_CLIMAX
ADANIPORTS,2026-03-30,1312.6,2026-06-05,1824.2,38.98,44,SavgolCTS Trend-Pullback,End of Data (Open Trade)
APOLLOHOSP,2025-12-17,6921.5,2026-01-13,7299.0,5.45,18,Oversold-Decel,ExitReason.ST_CROSS
ASIANPAINT,2025-12-29,2775.4,2026-03-02,2300.0,-17.13,43,Oversold-Decel,ExitReason.ST_CROSS
ASIANPAINT,2026-03-19,2186.0,2026-04-28,2475.0,13.22,24,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
AXISBANK,2026-04-07,1250.1,2026-04-24,1369.0,9.51,12,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.CWC_SLOPE_EARLY_RELEASE
BAJAJ-AUTO,2026-03-30,8781.5,2026-04-24,9600.0,9.32,16,Oversold-Decel,ExitReason.ST_CROSS
BAJFINANCE,2026-01-21,936.25,2026-02-18,1014.55,8.36,19,Oversold-Decel,ExitReason.ST_CROSS
BAJFINANCE,2026-03-25,882.75,2026-04-21,919.5,4.16,15,SavgolCTS Universal-Cross,ExitReason.ST_CROSS
BAJAJFINSV,2026-01-27,1917.7,2026-02-17,2045.0,6.64,15,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.ST_CROSS
BAJAJFINSV,2026-03-30,1631.8,2026-04-24,1792.7,9.86,16,Oversold-Decel,ExitReason.ST_CROSS
BEL,2026-03-27,404.75,2026-06-05,408.2,0.85,45,SavgolCTS CDVL-CTS,End of Data (Open Trade)
BHARTIARTL,2026-03-13,1803.4,2026-04-17,1837.1,1.87,21,SavgolCTS Trend-Pullback,ExitReason.PRT_ST_CROSS
BHARTIARTL,2026-04-30,1886.8,2026-05-05,1828.0,-3.12,2,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
CIPLA,2026-04-01,1195.9,2026-05-11,1347.0,12.63,25,Oversold-Decel,ExitReason.PRT_ST_CROSS
DRREDDY,2026-01-23,1235.6,2026-02-09,1260.0,1.97,10,SavgolCTS Universal-Cross-ReboundBypass,ExitReason.ST_CROSS
EICHERMOT,2026-03-30,6586.0,2026-06-02,7069.0,7.33,41,Oversold-Decel,ExitReason.PRT_ST_CROSS
