symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,duration,entry_tag,exit_reason
ADANIENT,2019-02-19,118.25,2019-03-20,142.0,20.08,20,Oversold-Decel,ExitReason.ST_CROSS
ADANIENT,2019-05-20,151.95,2019-06-04,158.15,4.08,11,Oversold-Decel,ExitReason.ST_CROSS
ADANIENT,2019-07-18,134.2,2019-09-04,134.6,0.3,31,Oversold-Decel,ExitReason.PRT_ST_CROSS
ADANIENT,2020-03-30,128.7,2020-04-21,143.0,11.11,12,Oversold-Decel,ExitReason.ST_CROSS
ADANIENT,2023-02-16,1796.6,2023-02-22,1535.0,-14.56,4,SavgolCTS SpringBoard,ExitReason.HARD_STOP
ADANIENT,2023-03-14,1738.2,2023-06-09,2447.95,40.83,58,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
ADANIENT,2023-11-02,2215.3,2023-12-21,2750.0,24.14,33,Oversold-Decel,ExitReason.CWC_SLOPE_EARLY_RELEASE
ADANIENT,2024-09-12,2991.0,2024-10-07,3110.65,4.0,16,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.PRT_ST_CROSS
ADANIENT,2025-08-18,2333.6,2025-09-01,2259.0,-3.2,9,SavgolCTS Universal-Cross,ExitReason.ST_CROSS
ADANIENT,2025-12-09,2245.2,2025-12-24,2250.0,0.21,11,Oversold-Decel,ExitReason.ST_CROSS
ADANIENT,2026-01-27,1959.5,2026-02-16,2124.2,8.41,14,Oversold-Decel,ExitReason.PRT_ST_CROSS
ADANIENT,2026-04-08,2043.8,2026-06-05,3048.2,49.14,39,SavgolCTS Universal-Cross,End of Data (Open Trade)
ADANIPORTS,2019-02-12,326.8,2019-02-27,326.55,-0.08,11,SavgolCTS Trend-Pullback,ExitReason.ST_CROSS
ADANIPORTS,2019-08-05,367.85,2019-10-25,402.95,9.54,52,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
ADANIPORTS,2019-11-15,366.3,2020-01-22,379.95,3.73,47,Oversold-Decel,ExitReason.CWVAP_EXHAUSTION
ADANIPORTS,2020-07-22,312.0,2020-09-10,346.0,10.9,36,Oversold-Decel,ExitReason.CWVAP_EXHAUSTION
ADANIPORTS,2021-06-29,711.0,2021-09-21,754.0,6.05,57,SavgolCTS SpringBoard,ExitReason.TIME_DECAY
ADANIPORTS,2022-05-20,767.55,2022-07-20,756.95,-1.38,43,Oversold-Decel,ExitReason.ST_CROSS
ADANIPORTS,2022-10-24,805.5,2022-11-25,877.0,8.88,22,SavgolCTS Trend-Pullback-CWCBypass,ExitReason.CTS_NEAR_MISS_ROLLOVER
ADANIPORTS,2023-01-09,816.65,2023-02-23,539.5,-33.94,32,Oversold-Decel,ExitReason.ST_CROSS
ADANIPORTS,2023-09-11,882.45,2023-09-21,821.15,-6.95,7,SavgolCTS Flow-Momentum,ExitReason.ST_CROSS
