DAS,CWC,FAS,BT,Vol,SL,TP,BE,Trades,Win Rate,Avg P&L,Profit Factor,Avg Duration,_avg_pnl_raw
-1.8,0.35,-0.1,0.32,0.0/0.0,-10.0%,None,None,12,91.7%,+7.33%,7.82x,32.8,7.333333333333333
-2.0,0.35,-0.1,0.32,0.0/0.0,-10.0%,None,None,12,91.7%,+7.33%,7.82x,32.8,7.333333333333333
-2.2,0.35,-0.1,0.32,0.0/0.0,-10.0%,None,None,12,91.7%,+7.33%,7.82x,32.8,7.333333333333333
-1.8,0.4,-0.1,0.35,0.0/0.0,-10.0%,None,None,13,84.6%,+6.71%,7.52x,30.7,6.707692307692308
-2.0,0.4,-0.1,0.35,0.0/0.0,-10.0%,None,None,13,84.6%,+6.71%,7.52x,30.7,6.707692307692308
-2.2,0.4,-0.1,0.35,0.0/0.0,-10.0%,None,None,13,84.6%,+6.71%,7.52x,30.7,6.707692307692308
-2.0,0.4,-0.1,0.38,0.0/0.0,-10.0%,None,None,13,84.6%,+6.71%,7.52x,30.7,6.707692307692308
-2.2,0.4,-0.1,0.38,0.0/0.0,-10.0%,None,None,13,84.6%,+6.71%,7.52x,30.7,6.707692307692308
-1.8,0.4,-0.1,0.38,0.0/0.0,-10.0%,None,None,13,84.6%,+6.71%,7.52x,30.7,6.707692307692308
-2.0,0.35,-0.1,0.35,0.0/0.0,-10.0%,None,None,14,85.7%,+6.58%,7.88x,29.7,6.579999999999999
-1.8,0.35,-0.1,0.38,0.0/0.0,-10.0%,None,None,14,85.7%,+6.58%,7.88x,29.7,6.579999999999999
-2.0,0.35,-0.1,0.38,0.0/0.0,-10.0%,None,None,14,85.7%,+6.58%,7.88x,29.7,6.579999999999999
-2.2,0.35,-0.1,0.38,0.0/0.0,-10.0%,None,None,14,85.7%,+6.58%,7.88x,29.7,6.579999999999999
-2.2,0.35,-0.1,0.35,0.0/0.0,-10.0%,None,None,14,85.7%,+6.58%,7.88x,29.7,6.579999999999999
-1.8,0.35,-0.1,0.35,0.0/0.0,-10.0%,None,None,14,85.7%,+6.58%,7.88x,29.7,6.579999999999999
-1.8,0.45,-0.1,0.38,0.0/0.0,-10.0%,None,None,12,83.3%,+6.30%,6.65x,27.9,6.299166666666667
-1.8,0.45,-0.1,0.35,0.0/0.0,-10.0%,None,None,12,83.3%,+6.30%,6.65x,27.9,6.299166666666667
-2.0,0.45,-0.1,0.38,0.0/0.0,-10.0%,None,None,12,83.3%,+6.30%,6.65x,27.9,6.299166666666667
-2.0,0.45,-0.1,0.35,0.0/0.0,-10.0%,None,None,12,83.3%,+6.30%,6.65x,27.9,6.299166666666667
-2.2,0.45,-0.1,0.35,0.0/0.0,-10.0%,None,None,12,83.3%,+6.30%,6.65x,27.9,6.299166666666667
-2.2,0.45,-0.1,0.38,0.0/0.0,-10.0%,None,None,12,83.3%,+6.30%,6.65x,27.9,6.299166666666667
-2.2,0.4,-0.2,0.32,0.0/0.0,-10.0%,None,None,17,88.2%,+6.03%,7.41x,35.6,6.032941176470588
-1.8,0.4,-0.2,0.32,0.0/0.0,-10.0%,None,None,17,88.2%,+6.03%,7.41x,35.6,6.032941176470588
-2.0,0.4,-0.2,0.32,0.0/0.0,-10.0%,None,None,17,88.2%,+6.03%,7.41x,35.6,6.032941176470588
-2.2,0.35,-0.2,0.32,0.0/0.0,-10.0%,None,None,18,88.9%,+5.97%,7.72x,34.6,5.97111111111111
-1.8,0.35,-0.2,0.32,0.0/0.0,-10.0%,None,None,18,88.9%,+5.97%,7.72x,34.6,5.97111111111111
-2.0,0.35,-0.2,0.32,0.0/0.0,-10.0%,None,None,18,88.9%,+5.97%,7.72x,34.6,5.97111111111111
-1.8,0.5,-0.2,0.32,0.0/0.0,-10.0%,None,None,13,84.6%,+5.94%,5.83x,34.1,5.9399999999999995
-2.2,0.5,-0.2,0.32,0.0/0.0,-10.0%,None,None,13,84.6%,+5.94%,5.83x,34.1,5.9399999999999995
-2.0,0.5,-0.2,0.32,0.0/0.0,-10.0%,None,None,13,84.6%,+5.94%,5.83x,34.1,5.9399999999999995
-2.2,0.45,-0.2,0.32,0.0/0.0,-10.0%,None,None,16,87.5%,+5.68%,6.68x,33.8,5.684375
-1.8,0.45,-0.2,0.32,0.0/0.0,-10.0%,None,None,16,87.5%,+5.68%,6.68x,33.8,5.684375
-2.0,0.45,-0.2,0.32,0.0/0.0,-10.0%,None,None,16,87.5%,+5.68%,6.68x,33.8,5.684375
-1.8,0.4,-0.2,0.35,0.0/0.0,-10.0%,None,None,20,80.0%,+5.33%,7.42x,33.5,5.327999999999999
-2.0,0.4,-0.2,0.38,0.0/0.0,-10.0%,None,None,20,80.0%,+5.33%,7.42x,33.5,5.327999999999999
-2.0,0.4,-0.2,0.35,0.0/0.0,-10.0%,None,None,20,80.0%,+5.33%,7.42x,33.5,5.327999999999999
-2.2,0.4,-0.2,0.35,0.0/0.0,-10.0%,None,None,20,80.0%,+5.33%,7.42x,33.5,5.327999999999999
-2.2,0.4,-0.2,0.38,0.0/0.0,-10.0%,None,None,20,80.0%,+5.33%,7.42x,33.5,5.327999999999999
-1.8,0.4,-0.2,0.38,0.0/0.0,-10.0%,None,None,20,80.0%,+5.33%,7.42x,33.5,5.327999999999999
-2.2,0.35,-0.2,0.38,0.0/0.0,-10.0%,None,None,22,81.8%,+5.13%,7.80x,33.1,5.130909090909091
-2.2,0.35,-0.2,0.35,0.0/0.0,-10.0%,None,None,22,81.8%,+5.13%,7.80x,33.1,5.130909090909091
-1.8,0.35,-0.2,0.35,0.0/0.0,-10.0%,None,None,22,81.8%,+5.13%,7.80x,33.1,5.130909090909091
-1.8,0.35,-0.2,0.38,0.0/0.0,-10.0%,None,None,22,81.8%,+5.13%,7.80x,33.1,5.130909090909091
-2.0,0.35,-0.2,0.35,0.0/0.0,-10.0%,None,None,22,81.8%,+5.13%,7.80x,33.1,5.130909090909091
-2.0,0.35,-0.2,0.38,0.0/0.0,-10.0%,None,None,22,81.8%,+5.13%,7.80x,33.1,5.130909090909091
