DAS,CWC,FAS,BT,Vol,Trades,Win Rate,Avg P&L,Profit Factor,Avg Duration,_avg_pnl_raw
-1.8,0.45,-0.3,0.38,0.0/0.0,14,78.6%,+1.71%,2.54x,24.6,1.7149999999999996
-2.2,0.45,-0.3,0.38,0.0/0.0,14,78.6%,+1.71%,2.54x,24.6,1.7149999999999996
-2.0,0.45,-0.3,0.38,0.0/0.0,14,78.6%,+1.71%,2.54x,24.6,1.7149999999999996
-2.0,0.45,-0.3,0.35,0.0/0.0,11,72.7%,+1.55%,2.09x,25.4,1.549090909090909
-2.2,0.45,-0.3,0.35,0.0/0.0,11,72.7%,+1.55%,2.09x,25.4,1.549090909090909
-1.8,0.45,-0.3,0.35,0.0/0.0,11,72.7%,+1.55%,2.09x,25.4,1.549090909090909
-1.8,0.5,-0.3,0.38,0.0/0.0,12,75.0%,+1.20%,1.92x,24.6,1.1991666666666667
-2.2,0.5,-0.3,0.38,0.0/0.0,12,75.0%,+1.20%,1.92x,24.6,1.1991666666666667
-2.0,0.5,-0.3,0.38,0.0/0.0,12,75.0%,+1.20%,1.92x,24.6,1.1991666666666667
-1.8,0.4,-0.3,0.35,0.0/0.0,13,69.2%,+0.86%,1.42x,24.7,0.8553846153846154
-2.0,0.4,-0.3,0.35,0.0/0.0,13,69.2%,+0.86%,1.42x,24.7,0.8553846153846154
-2.2,0.4,-0.3,0.35,0.0/0.0,13,69.2%,+0.86%,1.42x,24.7,0.8553846153846154
-1.8,0.4,-0.3,0.38,0.0/0.0,15,73.3%,+0.76%,1.43x,24.2,0.7573333333333333
-2.0,0.4,-0.3,0.38,0.0/0.0,15,73.3%,+0.76%,1.43x,24.2,0.7573333333333333
-2.2,0.4,-0.3,0.38,0.0/0.0,15,73.3%,+0.76%,1.43x,24.2,0.7573333333333333
