symbol,target_date,actual_date,is_missed,fired_signals,pnl_causal,duration_causal,exit_date_causal,exit_reason_causal,pnl_oracle,duration_oracle,exit_date_oracle
ASIANPAINT,2026-03-02,2026-03-02,True,[],8.305618764221956,35,2026-04-28,ExitReason.ST_CROSS,,0,
AXISBANK,2026-03-19,2026-03-19,True,[],13.713763601628038,21,2026-04-24,ExitReason.CWC_SLOPE_EARLY_RELEASE,13.763601628042178,20,2026-04-23
BAJAJ-AUTO,2025-12-10,2025-12-10,True,[],1.894295024023851,28,2026-01-22,CWVAP time stop (1 bars),9.410725133926112,49,2026-02-23
BAJAJ-AUTO,2026-03-13,2026-03-13,True,[],5.808442631985011,25,2026-04-24,ExitReason.ST_CROSS,16.273558911054774,44,2026-05-22
BEL,2025-12-16,2025-12-16,True,[],7.3392116182572575,22,2026-01-20,ExitReason.ST_CROSS,21.485995850622388,53,2026-03-06
BEL,2026-03-23,2026-03-23,False,"[{'date': '2026-03-25', 'tag': 'SavgolCTS CDVL-CTS', 'intensity': np.int64(65)}]",8.770659910725055,17,2026-04-22,ExitReason.PRT_ST_CROSS,8.565568826155157,18,2026-04-23
DRREDDY,2026-01-19,2026-01-19,True,[],7.996914373875019,13,2026-02-09,ExitReason.ST_CROSS,13.61103968458044,34,2026-03-11
DRREDDY,2026-04-02,2026-04-02,True,[],7.497125964854656,21,2026-05-07,ExitReason.ST_CROSS,7.045491870586296,26,2026-05-14
EICHERMOT,2026-01-22,2026-01-22,True,[],10.497633730101818,27,2026-03-05,ExitReason.STRUCTURAL_CLIMAX,13.710024379750463,21,2026-02-24
EICHERMOT,2026-03-30,2026-03-30,True,[],3.5675042121456224,40,2026-06-02,ExitReason.PRT_ST_CROSS,5.33294264156472,18,2026-04-29
ETERNAL,2026-03-12,2026-03-12,True,[],19.389836795252215,27,2026-04-27,ExitReason.ST_CROSS,17.335867952522243,28,2026-04-28
GRASIM,2026-03-23,2026-03-23,True,[],8.731466227347617,16,2026-04-21,ExitReason.ST_CROSS,,0,
HINDALCO,2026-03-23,2026-03-23,False,"[{'date': '2026-03-24', 'tag': 'SavgolCTS CDVL-CTS', 'intensity': np.int64(74)}]",20.189551278301067,30,2026-05-12,ExitReason.STRUCTURAL_CLIMAX,22.3658807699058,26,2026-05-06
HINDUNILVR,2026-03-19,2026-03-19,True,[],11.009746963076793,25,2026-04-30,ExitReason.ST_CROSS,11.749171748211463,27,2026-05-05
JSWSTEEL,2025-12-17,2025-12-17,True,[],7.189059323600078,16,2026-01-12,ExitReason.ST_CROSS,14.627610423211967,44,2026-02-23
JSWSTEEL,2026-03-23,2026-03-23,True,[],11.184616741642394,25,2026-05-05,ExitReason.ST_CROSS,11.369850930581272,29,2026-05-11
KOTAKBANK,2026-03-19,2026-03-19,True,[],0.8997955010225045,20,2026-04-23,ExitReason.ST_CROSS,5.971370143149279,42,2026-05-26
LT,2026-01-21,2026-01-21,True,[],3.437186989298313,28,2026-03-05,ExitReason.SUPPRESSED_EXIT,16.455796299225046,21,2026-02-23
POWERGRID,2026-01-16,2026-01-16,True,[],14.884533281583545,30,2026-03-04,ExitReason.CWC_SLOPE_EARLY_RELEASE,23.811372016301192,65,2026-04-28
SBIN,2025-12-04,2025-12-04,True,[],21.564590838908913,60,2026-03-05,ExitReason.CWC_SLOPE_EARLY_RELEASE,25.91868244981985,54,2026-02-24
SUNPHARMA,2026-01-21,2026-01-21,True,[],3.873454901480855,16,2026-02-16,ExitReason.ST_CROSS,10.243544241830849,34,2026-03-13
TRENT,2026-03-19,2026-03-19,True,[],16.164737610967528,26,2026-05-04,ExitReason.ST_CROSS,19.505000561860864,23,2026-04-28
